Date,Time,Location,Humidity,MaxTemp,Rainfall
08/09/2015,20:00:00,LUSAKA CITY AIRPOR,,30.2,0
09/09/2015,21:00:00,LUSAKA CITY AIRPOR,,32,0
10/09/2015,22:00:00,LUSAKA CITY AIRPOR,,32.5,0
11/09/2015,23:00:00,LUSAKA CITY AIRPOR,,32.1,0
12/09/2015,0:00:00,LUSAKA CITY AIRPOR,,31.6,0
13/09/2015,1:00:00,LUSAKA CITY AIRPOR,,28,0
14/09/2015,2:00:00,LUSAKA CITY AIRPOR,,28.5,0
15/09/2015,3:00:00,LUSAKA CITY AIRPOR,,23.7,0
16/09/2015,4:00:00,LUSAKA CITY AIRPOR,,25,0
17/09/2015,5:00:00,LUSAKA CITY AIRPOR,,29,0
18/09/2015,6:00:00,LUSAKA CITY AIRPOR,,32.3,0
19/09/2015,7:00:00,LUSAKA CITY AIRPOR,,33.6,0
20/09/2015,8:00:00,LUSAKA CITY AIRPOR,,33,0
21/09/2015,9:00:00,LUSAKA CITY AIRPOR,,31,0
22/09/2015,10:00:00,LUSAKA CITY AIRPOR,,29.8,0
23/09/2015,11:00:00,LUSAKA CITY AIRPOR,,31,0
24/09/2015,12:00:00,LUSAKA CITY AIRPOR,,32,0
25/09/2015,13:00:00,LUSAKA CITY AIRPOR,,31,0
26/09/2015,14:00:00,LUSAKA CITY AIRPOR,,30,0
27/09/2015,15:00:00,LUSAKA CITY AIRPOR,,30,0
28/09/2015,16:00:00,LUSAKA CITY AIRPOR,,31,0
29/09/2015,17:00:00,LUSAKA CITY AIRPOR,,31.5,0
30/09/2015,18:00:00,LUSAKA CITY AIRPOR,,32.5,0
01/10/2015,19:00:00,LUSAKA CITY AIRPOR,,32.5,0
02/10/2015,20:00:00,LUSAKA CITY AIRPOR,,32,0
03/10/2015,21:00:00,LUSAKA CITY AIRPOR,,33,0
04/10/2015,22:00:00,LUSAKA CITY AIRPOR,,33.1,0
05/10/2015,23:00:00,LUSAKA CITY AIRPOR,,32,0
06/10/2015,0:00:00,LUSAKA CITY AIRPOR,,31.5,0
07/10/2015,1:00:00,,,32,0
08/10/2015,2:00:00,,,33,0
09/10/2015,3:00:00,,,33.5,0
10/10/2015,4:00:00,,,32.5,0
11/10/2015,5:00:00,LUSAKA CITY AIRPOR,,34,0
12/10/2015,6:00:00,LUSAKA CITY AIRPOR,,33.8,0
13/10/2015,7:00:00,LUSAKA CITY AIRPOR,,34,0
14/10/2015,8:00:00,LUSAKA CITY AIRPOR,,34,0
15/10/2015,9:00:00,LUSAKA CITY AIRPOR,,35.6,0
16/10/2015,10:00:00,LUSAKA CITY AIRPOR,,32.5,0
17/10/2015,11:00:00,LUSAKA CITY AIRPOR,,32.5,0
18/10/2015,12:00:00,LUSAKA CITY AIRPOR,,31,0
19/10/2015,13:00:00,LUSAKA CITY AIRPOR,,31.6,0
20/10/2015,14:00:00,LUSAKA CITY AIRPOR,,32.1,0
21/10/2015,15:00:00,LUSAKA CITY AIRPOR,,31.5,0
22/10/2015,16:00:00,LUSAKA CITY AIRPOR,,32.5,0
23/10/2015,17:00:00,LUSAKA CITY AIRPOR,,31,0
24/10/2015,18:00:00,LUSAKA CITY AIRPOR,,31,0
25/10/2015,19:00:00,LUSAKA CITY AIRPOR,,32,0
26/10/2015,20:00:00,LUSAKA CITY AIRPOR,,33.5,0
27/10/2015,21:00:00,LUSAKA CITY AIRPOR,,31.8,0
28/10/2015,22:00:00,LUSAKA CITY AIRPOR,,30.4,0
29/10/2015,23:00:00,LUSAKA CITY AIRPOR,,31,0
30/10/2015,0:00:00,LUSAKA CITY AIRPOR,,33.5,0
31/10/2015,1:00:00,LUSAKA CITY AIRPOR,,33.9,0
01/11/2015,2:00:00,LUSAKA CITY AIRPOR,,34.5,0
02/11/2015,3:00:00,LUSAKA CITY AIRPOR,,35.5,0.3
03/11/2015,4:00:00,LUSAKA CITY AIRPOR,,30.4,0
04/11/2015,5:00:00,LUSAKA CITY AIRPOR,,28.5,0
05/11/2015,6:00:00,LUSAKA CITY AIRPOR,,23.5,0
06/11/2015,7:00:00,LUSAKA CITY AIRPOR,,27,0
07/11/2015,8:00:00,LUSAKA CITY AIRPOR,,30,0
08/11/2015,9:00:00,LUSAKA CITY AIRPOR,,29.1,0
09/11/2015,10:00:00,LUSAKA CITY AIRPOR,,34,0
10/11/2015,11:00:00,LUSAKA CITY AIRPOR,,35.5,0
11/11/2015,12:00:00,LUSAKA CITY AIRPOR,,34.5,0
12/11/2015,13:00:00,LUSAKA CITY AIRPOR,,35.1,0
13/11/2015,14:00:00,LUSAKA CITY AIRPOR,,35.5,0
14/11/2015,15:00:00,LUSAKA CITY AIRPOR,,35.5,0
15/11/2015,16:00:00,LUSAKA CITY AIRPOR,,33.5,1.2
16/11/2015,17:00:00,LUSAKA CITY AIRPOR,,30,0
17/11/2015,18:00:00,LUSAKA CITY AIRPOR,,31.5,0
18/11/2015,19:00:00,LUSAKA CITY AIRPOR,,30.3,0
19/11/2015,20:00:00,LUSAKA CITY AIRPOR,,34.5,0
20/11/2015,21:00:00,LUSAKA CITY AIRPOR,,33.7,1.5
21/11/2015,22:00:00,LUSAKA CITY AIRPOR,,32,0
22/11/2015,23:00:00,LUSAKA CITY AIRPOR,,29.9,45.6
23/11/2015,0:00:00,LUSAKA CITY AIRPOR,,28.8,6.3
24/11/2015,1:00:00,LUSAKA CITY AIRPOR,,28.1,0
25/11/2015,2:00:00,LUSAKA CITY AIRPOR,,30,0
26/11/2015,3:00:00,LUSAKA CITY AIRPOR,,31.3,0
27/11/2015,4:00:00,LUSAKA CITY AIRPOR,,33.6,0
28/11/2015,5:00:00,LUSAKA CITY AIRPOR,,33,0
29/11/2015,6:00:00,LUSAKA CITY AIRPOR,,30,0
30/11/2015,7:00:00,LUSAKA CITY AIRPOR,,28.3,0
01/12/2015,8:00:00,LUSAKA CITY AIRPOR,,29.5,0
02/12/2015,9:00:00,LUSAKA CITY AIRPOR,,31.9,0
03/12/2015,10:00:00,LUSAKA CITY AIRPOR,,31.9,0
04/12/2015,11:00:00,LUSAKA CITY AIRPOR,,33,1.3
05/12/2015,12:00:00,LUSAKA CITY AIRPOR,,28.7,0
06/12/2015,13:00:00,LUSAKA CITY AIRPOR,,28.5,0
07/12/2015,14:00:00,LUSAKA CITY AIRPOR,,33.5,0
08/12/2015,15:00:00,LUSAKA CITY AIRPOR,,33.5,0
09/12/2015,16:00:00,LUSAKA CITY AIRPOR,,33.3,0
10/12/2015,17:00:00,LUSAKA CITY AIRPOR,,35.1,0
11/12/2015,18:00:00,LUSAKA CITY AIRPOR,,34,0
12/12/2015,19:00:00,LUSAKA CITY AIRPOR,,32,0
13/12/2015,20:00:00,LUSAKA CITY AIRPOR,,33,39
14/12/2015,21:00:00,LUSAKA CITY AIRPOR,,28.8,0
15/12/2015,22:00:00,LUSAKA CITY AIRPOR,,29.2,0.7
16/12/2015,23:00:00,LUSAKA CITY AIRPOR,,27.5,0
17/12/2015,0:00:00,LUSAKA CITY AIRPOR,,24.1,14.9
18/12/2015,1:00:00,LUSAKA CITY AIRPOR,,26.1,25.5
19/12/2015,2:00:00,LUSAKA CITY AIRPOR,,25.4,40.5
20/12/2015,3:00:00,LUSAKA CITY AIRPOR,,26.5,2.1
21/12/2015,4:00:00,LUSAKA CITY AIRPOR,,29.1,0.2
22/12/2015,5:00:00,LUSAKA CITY AIRPOR,,30.5,0
23/12/2015,6:00:00,LUSAKA CITY AIRPOR,,30.5,0
24/12/2015,7:00:00,LUSAKA CITY AIRPOR,,28,0
25/12/2015,8:00:00,LUSAKA CITY AIRPOR,,30.1,0
26/12/2015,9:00:00,LUSAKA CITY AIRPOR,,29.5,1.8
27/12/2015,10:00:00,LUSAKA CITY AIRPOR,,28.1,0
28/12/2015,11:00:00,LUSAKA CITY AIRPOR,,28.5,0
29/12/2015,12:00:00,LUSAKA CITY AIRPOR,,27.5,0
30/12/2015,13:00:00,LUSAKA CITY AIRPOR,,29,0
31/12/2015,14:00:00,LUSAKA CITY AIRPOR,,30,0
01/01/2016,15:00:00,LUSAKA CITY AIRPOR,,31.6,0
02/01/2016,16:00:00,LUSAKA CITY AIRPOR,,31.9,0
03/01/2016,17:00:00,LUSAKA CITY AIRPOR,,30.6,0
